customer_id,primary_country,recency_days,frequency_orders,monetary_revenue,rfm_segment
13006,United Kingdom,48,1,81.57,New / One-time Recent
17309,United Kingdom,87,1,82.75,New / One-time Recent
14287,United Kingdom,190,2,83.28,Hibernating
12401,Belgium,295,1,84.3,Hibernating
13666,United Kingdom,52,3,84.65,Repeat Active
13841,United Kingdom,244,1,85.0,Hibernating
15729,United Kingdom,204,1,85.0,Hibernating
15541,United Kingdom,106,1,85.13000000000001,Occasional At Risk
13296,United Kingdom,129,1,87.4,Occasional At Risk
15180,United Kingdom,359,1,87.5,Hibernating
14354,United Kingdom,22,1,87.78,New / One-time Recent
15083,United Kingdom,248,1,88.2,Hibernating
14960,United Kingdom,163,1,88.3,Occasional At Risk
12353,Bahrain,196,1,89.0,Hibernating
14436,United Kingdom,90,1,89.06,New / One-time Recent
12686,France,363,1,89.14,Hibernating
14760,United Kingdom,289,1,89.2,Hibernating
14974,United Kingdom,29,1,89.94,New / One-time Recent
14117,United Kingdom,135,1,90.0,Occasional At Risk
15552,United Kingdom,209,1,90.12,Hibernating
16506,United Kingdom,11,2,90.30000000000001,Repeat Active
18084,United Kingdom,8,1,90.47999999999999,New / One-time Recent
13947,United Kingdom,57,1,90.6,New / One-time Recent
14353,United Kingdom,207,1,90.6,Hibernating
15488,United Kingdom,84,1,91.32000000000001,New / One-time Recent
12659,France,21,1,91.68,New / One-time Recent
13160,United Kingdom,14,1,91.8,New / One-time Recent
13551,United Kingdom,311,1,91.80000000000001,Hibernating
12789,Netherlands,57,1,91.85,New / One-time Recent
14054,United Kingdom,57,1,92.46,New / One-time Recent
12821,United Kingdom,206,1,92.72,Hibernating
17991,United Kingdom,217,2,93.35000000000001,Hibernating
13283,United Kingdom,51,2,93.66,Repeat Active
18227,United Kingdom,209,1,93.75,Hibernating
15428,United Kingdom,7,1,93.78,New / One-time Recent
18033,United Kingdom,57,1,93.82000000000001,New / One-time Recent
15397,United Kingdom,281,1,94.0,Hibernating
16339,United Kingdom,276,1,94.05,Hibernating
13651,United Kingdom,27,2,94.2,Repeat Active
16387,United Kingdom,314,1,94.36,Hibernating
12548,Spain,158,1,95.19999999999999,Occasional At Risk
18249,United Kingdom,9,1,95.34,New / One-time Recent
17895,United Kingdom,36,1,95.45,New / One-time Recent
16620,United Kingdom,252,1,95.76,Hibernating
17024,United Kingdom,37,3,95.85,Repeat Active
14642,United Kingdom,50,1,96.12,New / One-time Recent
15216,United Kingdom,79,1,96.6,New / One-time Recent
17325,United Kingdom,272,1,96.8,Hibernating
12984,United Kingdom,10,1,97.5,New / One-time Recent
15422,United Kingdom,315,2,97.7,Hibernating
17349,United Kingdom,171,1,98.25,Occasional At Risk
17538,United Kingdom,17,1,98.42,New / One-time Recent
15256,United Kingdom,140,1,98.45,Occasional At Risk
17939,United Kingdom,151,1,99.14,Occasional At Risk
13703,United Kingdom,310,1,99.5,Hibernating
18282,United Kingdom,118,1,100.21,Occasional At Risk
14371,United Kingdom,287,1,100.5,Hibernating
17427,United Kingdom,63,1,100.8,New / One-time Recent
14946,United Kingdom,6,1,100.9,New / One-time Recent
16498,United Kingdom,153,2,100.97,Occasional At Risk
16344,United Kingdom,150,1,101.10000000000001,Occasional At Risk
13101,United Kingdom,226,1,101.19,Hibernating
18086,United Kingdom,266,1,101.34,Hibernating
16006,United Kingdom,203,1,101.4,Hibernating
17643,United Kingdom,365,1,101.55,Hibernating
18068,United Kingdom,281,1,101.69999999999999,Hibernating
16516,United Kingdom,22,1,101.7,New / One-time Recent
15212,United Kingdom,233,1,101.8,Hibernating
13948,United Kingdom,352,1,102.0,Hibernating
14981,United Kingdom,238,1,102.12,Hibernating
15101,United Kingdom,351,1,102.28,Hibernating
17962,United Kingdom,134,1,102.41,Occasional At Risk
14836,United Kingdom,2,3,102.44999999999999,Repeat Active
18011,United Kingdom,365,1,102.78999999999999,Hibernating
14542,United Kingdom,177,1,103.25,Occasional At Risk
17548,United Kingdom,225,1,103.3,Hibernating
18255,United Kingdom,81,1,103.3,New / One-time Recent
15958,United Kingdom,66,1,104.35000000000001,New / One-time Recent
15607,United Kingdom,328,1,104.76,Hibernating
14027,United Kingdom,52,1,104.82,New / One-time Recent
15775,United Kingdom,237,1,104.9,Hibernating
16581,United Kingdom,174,1,105.84,Occasional At Risk
17791,United Kingdom,21,1,106.1,New / One-time Recent
15070,United Kingdom,364,1,106.2,Hibernating
15168,United Kingdom,17,1,106.56,New / One-time Recent
16757,United Kingdom,310,1,106.83000000000001,Hibernating
17893,United Kingdom,217,1,107.21,Hibernating
15395,United Kingdom,317,1,107.45,Hibernating
16784,United Kingdom,11,1,107.6,New / One-time Recent
17274,United Kingdom,27,1,107.82,New / One-time Recent
14661,United Kingdom,18,1,107.95,New / One-time Recent
12956,United Kingdom,298,1,108.07,Hibernating
13226,United Kingdom,265,1,108.21,Hibernating
16106,United Kingdom,57,1,108.38,New / One-time Recent
17639,United Kingdom,268,1,108.5,Hibernating
13170,United Kingdom,18,1,108.81,New / One-time Recent
14345,United Kingdom,30,1,108.97999999999999,New / One-time Recent
14699,United Kingdom,206,1,109.13000000000001,Hibernating
16363,United Kingdom,45,1,109.36,New / One-time Recent
13133,United Kingdom,265,2,109.80000000000001,Hibernating
17836,United Kingdom,39,1,110.21,New / One-time Recent
17746,United Kingdom,232,1,110.25,Hibernating
17901,United Kingdom,21,1,110.38,New / One-time Recent
18277,United Kingdom,50,1,110.38,New / One-time Recent
16792,United Kingdom,274,2,110.38000000000001,Hibernating
12734,France,344,1,110.39999999999999,Hibernating
14641,United Kingdom,13,1,110.46,New / One-time Recent
16963,United Kingdom,179,1,110.55000000000001,Occasional At Risk
15853,United Kingdom,43,1,110.8,New / One-time Recent
15537,United Kingdom,155,1,110.92,Occasional At Risk
13144,United Kingdom,324,1,110.95,Hibernating
13508,United Kingdom,235,1,110.97,Hibernating
15690,United Kingdom,92,1,111.0,Occasional At Risk
18120,United Kingdom,206,1,111.15,Hibernating
17887,United Kingdom,121,1,111.35,Occasional At Risk
17957,United Kingdom,58,1,111.68,New / One-time Recent
12756,Japan,78,1,112.08,New / One-time Recent
13193,United Kingdom,53,1,112.08,New / One-time Recent
17900,United Kingdom,182,2,112.19999999999999,Hibernating
17967,United Kingdom,363,1,112.27,Hibernating
14271,United Kingdom,217,1,112.32000000000001,Hibernating
17038,United Kingdom,22,1,112.4,New / One-time Recent
15610,United Kingdom,43,1,112.46000000000001,New / One-time Recent
18129,United Kingdom,235,1,112.55,Hibernating
13807,United Kingdom,359,1,112.6,Hibernating
13161,United Kingdom,305,1,112.75,Hibernating
16697,United Kingdom,233,1,112.75,Hibernating
14689,United Kingdom,200,1,112.8,Hibernating
17266,United Kingdom,139,1,113.06,Occasional At Risk
15280,United Kingdom,164,1,113.12,Occasional At Risk
16913,United Kingdom,282,1,113.44,Hibernating
18105,United Kingdom,29,1,113.48,New / One-time Recent
15445,United Kingdom,256,1,113.5,Hibernating
17217,United Kingdom,226,1,113.5,Hibernating
14457,United Kingdom,302,1,113.64,Hibernating
12651,France,326,1,114.0,Hibernating
14582,United Kingdom,32,1,114.11000000000001,New / One-time Recent
12938,United Kingdom,17,1,114.14,New / One-time Recent
14652,United Kingdom,69,1,114.17999999999999,New / One-time Recent
17219,United Kingdom,23,1,114.23,New / One-time Recent
17852,United Kingdom,3,2,114.34,Repeat Active
14632,United Kingdom,254,1,114.56,Hibernating
16247,United Kingdom,162,1,114.56,Occasional At Risk
13188,United Kingdom,3,1,114.60000000000001,New / One-time Recent
14972,United Kingdom,120,1,114.77,Occasional At Risk
18027,United Kingdom,90,1,115.31,New / One-time Recent
13067,United Kingdom,74,1,115.46000000000001,New / One-time Recent
15350,United Kingdom,365,1,115.65,Hibernating
14143,United Kingdom,125,1,115.8,Occasional At Risk
17601,United Kingdom,231,1,116.00999999999999,Hibernating
17117,United Kingdom,280,1,116.19999999999999,Hibernating
13780,United Kingdom,162,1,116.28000000000002,Occasional At Risk
13877,United Kingdom,78,1,117.24,New / One-time Recent
16959,United Kingdom,79,1,117.35000000000001,New / One-time Recent
17654,United Kingdom,269,1,117.55,Hibernating
12929,United Kingdom,303,1,117.85,Hibernating
13581,United Kingdom,301,1,118.0,Hibernating
14076,United Kingdom,121,1,118.67,Occasional At Risk
14155,United Kingdom,258,1,118.75,Hibernating
17079,United Kingdom,70,1,118.80000000000001,New / One-time Recent
15843,United Kingdom,295,1,118.95000000000002,Hibernating
16666,United Kingdom,11,1,118.98,New / One-time Recent
15266,United Kingdom,330,1,119.3,Hibernating
16542,United Kingdom,45,1,119.62,New / One-time Recent
14453,United Kingdom,182,1,119.93,Hibernating
14259,United Kingdom,133,1,120.0,Occasional At Risk
14314,United Kingdom,98,1,120.0,Occasional At Risk
14165,United Kingdom,267,1,120.44,Hibernating
17446,United Kingdom,168,2,120.9,Occasional At Risk
13002,United Kingdom,310,1,120.94999999999999,Hibernating
15512,United Kingdom,147,2,121.0,Occasional At Risk
14413,United Kingdom,354,1,121.05,Hibernating
18030,United Kingdom,34,1,121.1,New / One-time Recent
15049,United Kingdom,265,1,121.17,Hibernating
13182,United Kingdom,37,1,121.18,New / One-time Recent
13244,United Kingdom,84,1,121.74,New / One-time Recent
18018,United Kingdom,100,2,122.14,Occasional At Risk
16073,United Kingdom,289,1,122.39999999999999,Hibernating
17436,United Kingdom,218,1,122.39999999999999,Hibernating
13638,United Kingdom,7,1,122.64,New / One-time Recent
13876,United Kingdom,55,1,122.7,New / One-time Recent
13519,United Kingdom,70,1,122.75,New / One-time Recent
15917,United Kingdom,239,1,123.1,Hibernating
14658,United Kingdom,109,1,123.14,Occasional At Risk
16658,United Kingdom,360,1,123.24,Hibernating
14495,United Kingdom,42,2,123.8,Repeat Active
16849,United Kingdom,178,1,124.57,Occasional At Risk
17148,United Kingdom,43,1,124.88,New / One-time Recent
12531,Germany,6,1,125.22,New / One-time Recent
15017,United Kingdom,25,1,125.58,New / One-time Recent
14890,United Kingdom,245,1,125.65,Hibernating
14861,United Kingdom,44,1,125.79,New / One-time Recent
13522,United Kingdom,22,1,125.80000000000001,New / One-time Recent
12814,Poland,93,1,125.92,Occasional At Risk
15463,United Kingdom,21,1,126.14,New / One-time Recent
16414,United Kingdom,13,2,126.25,Repeat Active
14962,United Kingdom,262,1,126.7,Hibernating
15923,United Kingdom,364,1,127.08,Hibernating
15578,United Kingdom,154,1,127.10000000000001,Occasional At Risk
13781,United Kingdom,242,1,127.84,Hibernating
15543,United Kingdom,280,1,127.86,Hibernating
17359,United Kingdom,3,1,127.86,New / One-time Recent
17297,United Kingdom,9,1,128.18,New / One-time Recent
16828,United Kingdom,85,2,128.5,Repeat Active
15276,United Kingdom,58,1,128.63,New / One-time Recent
16623,United Kingdom,237,1,129.45000000000002,Hibernating
16611,United Kingdom,178,1,129.49,Occasional At Risk
16679,United Kingdom,358,1,129.75,Hibernating
15844,United Kingdom,38,1,130.73999999999998,New / One-time Recent
14795,United Kingdom,158,1,131.45000000000002,Occasional At Risk
17455,United Kingdom,195,1,131.7,Hibernating
12851,United Kingdom,88,1,131.81,New / One-time Recent
14438,United Kingdom,298,1,131.9,Hibernating
17785,United Kingdom,45,1,131.94,New / One-time Recent
18005,United Kingdom,39,1,132.07,New / One-time Recent
12512,Israel,58,2,132.18,Repeat Active
17221,United Kingdom,28,1,132.28,New / One-time Recent
17647,United Kingdom,57,1,133.06,New / One-time Recent
15709,United Kingdom,275,1,133.25,Hibernating
17881,United Kingdom,296,1,133.35,Hibernating
12445,Spain,14,1,133.4,New / One-time Recent
14349,United Kingdom,2,1,133.5,New / One-time Recent
16424,United Kingdom,183,1,133.56,Hibernating
14280,United Kingdom,188,1,134.04,Hibernating
12837,United Kingdom,165,1,134.1,Occasional At Risk
14174,United Kingdom,25,1,134.46,New / One-time Recent
15562,United Kingdom,343,1,134.55,Hibernating
14340,United Kingdom,210,1,134.7,Hibernating
16055,United Kingdom,212,1,134.8,Hibernating
13364,United Kingdom,63,1,134.96,New / One-time Recent
17972,United Kingdom,233,1,135.19,Hibernating
16665,United Kingdom,354,1,135.4,Hibernating
15174,United Kingdom,314,1,135.75,Hibernating
16114,United Kingdom,162,1,135.75000000000003,Occasional At Risk
15419,United Kingdom,16,1,135.85999999999999,New / One-time Recent
14889,United Kingdom,328,1,135.9,Hibernating
15042,United Kingdom,191,1,135.93,Hibernating
12968,United Kingdom,104,1,135.95,Occasional At Risk
16412,United Kingdom,45,1,135.99,New / One-time Recent
16462,United Kingdom,65,3,136.0,Repeat Active
14247,United Kingdom,270,1,136.77,Hibernating
15691,United Kingdom,244,1,136.8,Hibernating
17468,United Kingdom,2,2,137.0,Repeat Active
14483,United Kingdom,273,1,137.1,Hibernating
15836,United Kingdom,42,1,137.37,New / One-time Recent
17709,United Kingdom,161,1,137.45000000000002,Occasional At Risk
13279,United Kingdom,70,1,137.75,New / One-time Recent
16050,United Kingdom,165,1,137.9,Occasional At Risk
15663,United Kingdom,98,1,138.14,Occasional At Risk
13716,United Kingdom,261,1,138.28,Hibernating
17122,United Kingdom,111,1,138.32,Occasional At Risk
14581,United Kingdom,8,1,138.6,New / One-time Recent
12902,United Kingdom,256,1,138.68,Hibernating
13273,United Kingdom,105,1,138.98,Occasional At Risk
15135,United Kingdom,231,1,139.05,Hibernating
18209,United Kingdom,20,1,139.10000000000002,New / One-time Recent
14772,United Kingdom,104,1,139.26,Occasional At Risk
16483,United Kingdom,184,1,139.35,Hibernating
17718,United Kingdom,224,1,139.35,Hibernating
14494,United Kingdom,17,1,139.56,New / One-time Recent
13483,United Kingdom,57,1,140.34,New / One-time Recent
15388,Canada,262,1,140.54,Hibernating
15503,United Kingdom,354,1,141.04,Hibernating
14041,United Kingdom,258,1,141.41,Hibernating
13561,United Kingdom,207,1,141.85999999999999,Hibernating
17859,United Kingdom,296,1,141.92000000000002,Hibernating
13584,United Kingdom,298,1,142.4,Hibernating
14386,United Kingdom,288,1,142.4,Hibernating
13299,United Kingdom,260,1,142.5,Hibernating
16287,United Kingdom,161,1,142.5,Occasional At Risk
16461,United Kingdom,169,1,142.92,Occasional At Risk
15705,United Kingdom,193,1,143.1,Hibernating
17578,United Kingdom,210,1,143.46,Hibernating
15883,United Kingdom,25,1,143.76,New / One-time Recent
17186,United Kingdom,38,2,144.0,Repeat Active
14109,United Kingdom,64,1,144.2,New / One-time Recent
15748,United Kingdom,32,1,144.36,New / One-time Recent
12974,United Kingdom,189,1,144.8,Hibernating
16852,United Kingdom,2,2,144.91,Repeat Active
17524,United Kingdom,353,1,145.0,Hibernating
16598,United Kingdom,277,1,145.04999999999998,Hibernating
15937,United Kingdom,56,1,145.35,New / One-time Recent
13866,United Kingdom,66,1,145.67000000000002,New / One-time Recent
17935,United Kingdom,130,2,145.79,Occasional At Risk
12565,Saudi Arabia,280,1,145.92,Hibernating
16893,United Kingdom,358,1,145.93,Hibernating
14238,United Kingdom,318,1,146.85,Hibernating
17030,United Kingdom,55,1,146.87,New / One-time Recent
12864,United Kingdom,130,1,147.12,Occasional At Risk
14037,United Kingdom,168,2,147.2,Occasional At Risk
14098,United Kingdom,28,1,147.35,New / One-time Recent
14968,United Kingdom,22,1,147.59,New / One-time Recent
15526,United Kingdom,25,2,148.44,Repeat Active
17549,United Kingdom,15,2,148.86,Repeat Active
13003,United Kingdom,97,3,149.05,Occasional At Risk
15435,United Kingdom,14,1,149.29,New / One-time Recent
18262,United Kingdom,132,1,149.48,Occasional At Risk
17946,United Kingdom,225,2,149.57999999999998,Hibernating
15869,United Kingdom,269,2,149.64,Hibernating
17234,United Kingdom,174,1,149.89,Occasional At Risk
16932,United Kingdom,45,1,150.23,New / One-time Recent
15717,United Kingdom,226,1,150.3,Hibernating
18200,United Kingdom,98,1,150.35,Occasional At Risk
14073,United Kingdom,24,1,151.04,New / One-time Recent
16337,United Kingdom,28,1,151.05,New / One-time Recent
13697,United Kingdom,30,1,151.29999999999998,New / One-time Recent
17286,United Kingdom,13,1,151.37,New / One-time Recent
13462,United Kingdom,244,1,151.5,Hibernating
14362,United Kingdom,14,1,151.5,New / One-time Recent
14208,United Kingdom,86,1,151.74,New / One-time Recent
16617,United Kingdom,227,1,151.85,Hibernating
17898,United Kingdom,77,2,152.06,Repeat Active
14039,United Kingdom,25,1,152.2,New / One-time Recent
13514,United Kingdom,65,1,152.20000000000002,New / One-time Recent
17707,United Kingdom,177,2,152.4,Occasional At Risk
14066,United Kingdom,258,1,152.55,Hibernating
18138,United Kingdom,287,1,152.65,Hibernating
17984,United Kingdom,137,1,152.68,Occasional At Risk
14813,United Kingdom,361,2,152.88,Hibernating
16248,United Kingdom,53,1,152.94,New / One-time Recent
16720,United Kingdom,18,1,152.95,New / One-time Recent
17714,United Kingdom,312,1,153.0,Hibernating
18273,United Kingdom,87,2,153.0,Repeat Active
12602,France,50,1,153.12,New / One-time Recent
16351,United Kingdom,324,1,153.9,Hibernating
17517,United Kingdom,300,1,153.94,Hibernating
16921,United Kingdom,53,1,154.18,New / One-time Recent
16406,United Kingdom,10,1,154.35,New / One-time Recent
15226,United Kingdom,302,1,154.41,Hibernating
17899,United Kingdom,151,1,154.54999999999998,Occasional At Risk
17026,United Kingdom,177,2,154.82999999999998,Occasional At Risk
15740,United Kingdom,41,1,154.88,New / One-time Recent
17698,United Kingdom,252,1,154.95,Hibernating
14046,United Kingdom,276,1,154.99,Hibernating
14368,United Kingdom,311,1,155.0,Hibernating
13809,Cyprus,297,1,155.05,Hibernating
15447,United Kingdom,322,1,155.17,Hibernating
12738,Germany,364,1,155.35,Hibernating
17832,United Kingdom,41,1,155.37,New / One-time Recent
17871,United Kingdom,196,1,155.9,Hibernating
13898,United Kingdom,317,1,155.93,Hibernating
17885,United Kingdom,4,1,156.34,New / One-time Recent
15263,United Kingdom,98,1,156.51,Occasional At Risk
15438,United Kingdom,123,1,156.58,Occasional At Risk
14406,United Kingdom,111,1,156.75,Occasional At Risk
15988,United Kingdom,11,1,156.78,New / One-time Recent
15007,United Kingdom,151,1,156.91,Occasional At Risk
17118,United Kingdom,309,1,157.02,Hibernating
14585,United Kingdom,42,1,157.05,New / One-time Recent
17128,United Kingdom,326,1,157.09,Hibernating
14148,United Kingdom,225,1,157.2,Hibernating
17344,United Kingdom,38,1,157.62,New / One-time Recent
14799,United Kingdom,43,1,157.7,New / One-time Recent
17556,United Kingdom,197,1,157.9,Hibernating
18004,United Kingdom,354,1,157.92,Hibernating
15348,United Kingdom,64,1,158.04,New / One-time Recent
15160,United Kingdom,349,1,158.16,Hibernating
17165,United Kingdom,276,1,158.68,Hibernating
14089,United Kingdom,48,1,158.75,New / One-time Recent
15167,United Kingdom,312,1,158.8,Hibernating
13937,United Kingdom,161,1,158.85,Occasional At Risk
18224,United Kingdom,255,1,158.95000000000002,Hibernating
16213,United Kingdom,70,1,159.0,New / One-time Recent
13420,United Kingdom,141,2,159.85,Occasional At Risk
13598,United Kingdom,39,1,160.04,New / One-time Recent
12966,United Kingdom,1,1,160.18,New / One-time Recent
14714,United Kingdom,16,1,160.19,New / One-time Recent
18146,United Kingdom,132,2,160.35000000000002,Occasional At Risk
18203,United Kingdom,149,1,160.42,Occasional At Risk
12573,France,219,1,160.54,Hibernating
15852,United Kingdom,178,2,160.71,Occasional At Risk
13229,United Kingdom,217,1,160.95,Hibernating
14237,United Kingdom,365,1,161.0,Hibernating
16113,United Kingdom,175,1,161.38,Occasional At Risk
17157,United Kingdom,168,1,161.46,Occasional At Risk
15458,United Kingdom,17,1,161.64,New / One-time Recent
17600,United Kingdom,9,1,161.67000000000002,New / One-time Recent
15325,United Kingdom,95,1,161.74,Occasional At Risk
17668,United Kingdom,30,1,161.85,New / One-time Recent
18014,United Kingdom,20,1,162.22,New / One-time Recent
15733,United Kingdom,274,1,162.3,Hibernating
17250,United Kingdom,253,1,162.65,Hibernating
16517,United Kingdom,269,1,162.7,Hibernating
12920,United Kingdom,9,1,162.78,New / One-time Recent
14485,United Kingdom,30,1,162.8,New / One-time Recent
13223,United Kingdom,192,2,163.20000000000002,Hibernating
17301,United Kingdom,13,1,163.24,New / One-time Recent
17110,United Kingdom,157,1,163.29999999999998,Occasional At Risk
16149,United Kingdom,134,1,163.68,Occasional At Risk
14552,United Kingdom,143,1,164.22,Occasional At Risk
13603,United Kingdom,18,1,164.34,New / One-time Recent
17535,United Kingdom,272,1,164.4,Hibernating
13470,United Kingdom,91,2,165.0,Occasional At Risk
14520,United Kingdom,282,1,165.0,Hibernating
15316,United Kingdom,318,1,165.0,Hibernating
18042,United Kingdom,45,1,165.04999999999998,New / One-time Recent
17561,United Kingdom,11,1,165.12,New / One-time Recent
13173,United Kingdom,359,1,165.94,Hibernating
18088,United Kingdom,53,1,166.03,New / One-time Recent
12817,Austria,273,1,166.04,Hibernating
17650,United Kingdom,13,1,166.08,New / One-time Recent
14295,United Kingdom,32,1,166.20000000000002,New / One-time Recent
16405,United Kingdom,294,2,167.25,Hibernating
15920,United Kingdom,146,4,167.5,Occasional At Risk
17367,United Kingdom,230,1,167.55,Hibernating
16952,United Kingdom,101,2,167.60999999999999,Occasional At Risk
16313,United Kingdom,41,1,167.62,New / One-time Recent
12551,Spain,349,1,168.0,Hibernating
15374,United Kingdom,120,1,168.0,Occasional At Risk
15986,United Kingdom,22,1,168.12,New / One-time Recent
17737,United Kingdom,1,2,168.24,Repeat Active
16282,United Kingdom,331,1,168.3,Hibernating
15888,United Kingdom,72,1,168.31,New / One-time Recent
18099,United Kingdom,119,1,168.31,Occasional At Risk
18269,United Kingdom,358,1,168.6,Hibernating
17254,United Kingdom,7,1,169.06,New / One-time Recent
14218,United Kingdom,34,1,169.48000000000002,New / One-time Recent
13962,United Kingdom,13,2,169.55,Repeat Active
15016,United Kingdom,164,1,170.04,Occasional At Risk
18058,United Kingdom,1,1,170.16,New / One-time Recent
15335,United Kingdom,45,1,170.22,New / One-time Recent
14860,United Kingdom,11,1,170.32,New / One-time Recent
12962,United Kingdom,105,1,170.54,Occasional At Risk
17542,United Kingdom,261,1,170.75,Hibernating
14536,United Kingdom,251,1,170.95,Hibernating
15432,United Kingdom,15,1,171.19,New / One-time Recent
17245,United Kingdom,196,1,171.45,Hibernating
16773,United Kingdom,49,1,171.59,New / One-time Recent
13690,United Kingdom,51,1,172.25,New / One-time Recent
